,0,1,2
0,文库仿真,wénkùfǎngzhēn,simulation
1,数值,shùzhí,numerical
2,飞机,fēijī,aircraft
3,卫星,wèixīng,satellite
4,发动机,fādòngjī,engine
5,飞行,fēixíng,flight
6,流动,líudòng,flow
7,可靠性,kěkàoxìng,reliability
8,火箭,huǒjiàn,rocket
9,流场,líucháng,flow
10,空间,kōngjiān,space
11,姿态,zītài,attitude
12,非线性,fēixiànxìng,nonlinear
13,推进剂,tūijìnjì,propellant
14,固体,gùtǐ,solid
15,直升机,zhíshēngjī,helicopter
16,导航,dǎoháng,navigation
17,火箭发动机,huǒjiànfādòngjī,rocket
18,换热,huànrè,heat
19,复合材料,fùhécáiliào,composite
20,气动,qìdòng,aerodynamic
21,燃烧,ránshāo,combustion
22,传热,chuánrè,heat
23,疲劳,píláo,fatigue
24,航天器,hángtiānqì,spacecraft
25,风洞,fēngdòng,tunnel
26,喷管,pēnguǎn,nozzle
27,叶片,yèpiàn,blade
28,地面,dìmiàn,ground
29,涡轮,wōlún,turbine
30,航空,hángkōng,aviation
31,湍流,tuānlíu,turbulent
32,机场,jīcháng,airport
33,神经网络,shénjīngwǎngluò,neural
34,推力,tūilì,thrust
35,固体火箭,gùtǐhuǒjiàn,rocket
36,非定常,fēidìngcháng,unsteady
37,建模,jiànmó,modeling
38,旋翼,xuányì,rotor
39,机载,jīzài,airborne
40,压气机,yāqìjī,compressor
41,机翼,jīyì,wing
42,组合,zǔhé,integrated
43,激波,jībō,shock
44,导航系统,dǎohángxìtǒng,navigation
45,航空发动机,hángkōngfādòngjī,aeroengine
46,飞行器,fēixíngqì,vehicle
47,航天,hángtiān,space
48,轨道,gǔidào,orbit
49,雷达,léidá,radar
50,边界层,biānjiècéng,boundary
51,组合导航,zǔhédǎoháng,navigation
52,陀螺,tuóluó,gyro
53,民航,mínháng,civil
54,跟踪,gēnzōng,tracking
55,转子,zhuǎnzǐ,rotor
56,飞行员,fēixíngyuán,pilots
57,雷诺,léinuò,reynolds
58,格式,géshì,scheme
59,液体火箭,yètǐhuǒjiàn,rocket
60,冷却,lěngquè,cooling
61,天线,tiānxiàn,antenna
62,数值计算,shùzhíjìsuàn,numerical
63,进气道,jìnqìdào,inlet
64,失重,shīzhòng,weightlessness
65,翼型,yìxíng,airfoil
66,惯性,guànxìng,inertial
67,对流,dùilíu,convection
68,叶栅,yèzhà,cascade
69,粘性,niánxìng,viscous
70,绕流,ràolíu,flow
71,颤振,zhànzhèn,flutter
72,制导,zhìdǎo,guidance
73,雷诺数,léinuòshù,reynolds
74,高超声速,gāochāoshēngsù,hypersonic
75,卡尔曼,qiǎěrmàn,kalman
76,边界条件,biānjiètiáojiàn,boundary
77,燃速,ránsù,rate
78,鲁棒,lǔbàng,robust
79,燃烧室,ránshāoshì,combustor
80,自主,zìzhǔ,autonomous
81,推进,tūijìn,propulsion
82,跨音速,kuàyīnsù,transonic
83,模拟器,mónǐqì,simulator
84,疲劳寿命,píláoshòumìng,fatigue
85,空中,kōngzhōng,air
86,射流,shèlíu,jet
87,气动力,qìdònglì,aerodynamic
88,沸腾,fèiténg,boiling
89,运载火箭,yùnzàihuǒjiàn,launch
90,压强,yāqiáng,pressure
91,超声速,chāoshēngsù,supersonic
92,仿真研究,fǎngzhēnyánjīu,simulation
93,热流,rèlíu,heat
94,超音速,chāoyīnsù,supersonic
95,失速,shīsù,stall
96,着陆,zháolù,landing
97,导弹,dǎodàn,missile
98,载人,zàirén,manned
99,刚度,gāngdù,stiffness
100,点火,diǎnhuǒ,ignition
101,固体推进剂,gùtǐtūijìnjì,propellant
102,加速度,jiāsùdù,acceleration
103,旋转,xuánzhuǎn,rotating
104,模态,mótài,modal
105,火焰,huǒyàn,flame
106,航空公司,hángkōnggōngsī,airlines
107,阻尼,zǔní,damping
108,接触,jiēhóng,contact
109,迎角,yíngjiǎo,attack
110,马赫数,mǎhèshù,mach
111,阻力,zǔlì,drag
112,对准,dùizhǔn,alignment
113,惯导,guàndǎo,navigation
114,气流,qìlíu,flow
115,卡尔曼滤波,qiǎěrmànlv̀bō,kalman
116,壁面,bìmiàn,wall
117,卫星姿态,wèixīngzītài,attitude
118,发射,fāshè,launch
119,数值分析,shùzhífēnxī,numerical
120,跨声速,kuàshēngsù,transonic
121,挠性,náoxìng,flexible
122,再入,zàirù,reentry
123,无人机,wúrénjī,unmanned
124,冲击,chōngjí,impact
125,气动特性,qìdòngtèxìng,aerodynamic
126,交会,jiāohùi,rendezvous
127,可靠性分析,kěkàoxìngfēnxī,reliability
128,攻角,gōngjiǎo,attack
129,涡扇,wōshàn,turbofan
130,空中交通,kōngzhōngjiāotōng,air
131,太阳,tàiyáng,solar
132,漂移,piāoyí,drift
133,敏感器,mǐngǎnqì,sensor
134,燃油,rányóu,fuel
135,升力,shēnglì,lift
136,尾迹,wěijī,wake
137,相机,xiāngjī,camera
138,轨迹,gǔijī,trajectory
139,飞控,fēikòng,flight
140,畸变,jībiàn,distortion
141,飞机结构,fēijījiégōu,aircraft
142,涡扇发动机,wōshànfādòngjī,turbofan
143,飞行试验,fēixíngshìyàn,flight
144,某型,mǒuxíng,certain
145,导热,dǎorè,heat
146,战斗机,zhàndǒujī,fighter
147,推进系统,tūijìnxìtǒng,propulsion
148,民用,mínyòng,civil
149,星座,xīngzuò,constellation
150,爆震,bàozhèn,detonation
151,力矩,lìjǔ,moment
152,微重力,wēizhònglì,microgravity
153,陀螺仪,tuóluóyí,gyroscope
154,起落架,qǐluòjià,gear
155,鲁棒性,lǔbàngxìng,robustness
156,高度,gāodù,altitude
157,高空,gāokōng,altitude
158,涡轮叶片,wōlúnyèpiàn,blade
159,型飞机,xíngfēijī,aircraft
160,烧蚀,shāoshí,ablation
161,星敏感器,xīngmǐngǎnqì,star
162,对接,dùijiē,docking
163,喷流,pēnlíu,jet
164,试飞,shìfēi,flight
165,隐式,yǐnshì,implicit
166,机动,jīdòng,maneuver
167,压力分布,yālìfēnbù,pressure
168,撞击,zhuàngjí,impact
169,效能,xiàonéng,effectiveness
170,航空电子,hángkōngdiànzǐ,avionics
171,摄动,shèdòng,perturbation
172,微型,wēixíng,micro
173,圆柱,yuánzhù,cylinder
174,数值仿真,shùzhífǎngzhēn,simulation
175,月球,yuèqíu,lunar
176,层流,cénglíu,laminareuler
177,方程,fāngchéng,euler
178,桨叶,jiǎngyè,blade
179,可靠度,kěkàodù,reliability
180,出口,chūkǒu,exit
181,定常,dìngcháng,steady
182,标定,biāodìng,calibration
183,数字仿真,shùzìfǎngzhēn,simulation
184,小卫星,xiǎowèixīng,satellite
185,光纤陀螺,guāngxiāntuóluó,fog
186,非结构,fēijiégōu,unstructured
187,相流,xiānglíu,flow
188,回路,húilù,loop
189,系统可靠性,xìtǒngkěkàoxìng,reliability
190,轴对称,zhóudùichēng,axisymmetric
191,编队,biāndùi,formation
192,燃烧性,ránshāoxìng,combustion
193,燃烧性能,ránshāoxìngnéng,combustion
194,蜂窝,fēngwō,honeycomb
195,直升机旋翼,zhíshēngjīxuányì,helicopter
196,解耦,jiěǒu,decoupling
197,旋涡,xuánwō,vortex
198,隐身,yǐnshēn,stealth
199,某型飞机,mǒuxíngfēijī,aircraft
200,无人,wúrén,unmanned
201,进口,jìnkǒu,inlet
202,仿真分析,fǎngzhēnfēnxī,simulation
203,冲压发动机,chōngyāfādòngjī,ramjet
204,风扇,fēngshàn,fan
205,转捩,zhuǎnliè,transition
206,军用,jūnyòng,military
207,自然对流,zìrándùilíu,convection
208,捷联,jiélián,sins
209,编队飞行,biāndùifēixíng,formation
210,品质,pǐnzhí,qualities
211,煤油,méiyóu,kerosene
212,药柱,yàozhù,grain
213,天平,tiānpíng,balance
214,星载,xīngzài,satellite
215,管内,guǎnnèi,tube
216,弯曲,wānqū,bending
217,紊流,wènlíu,turbulent
218,热管,règuǎn,heat
219,仿真技术,fǎngzhēnjìzhú,simulation
220,空间环境,kōngjiānhuánjìng,space
221,羽流,yǔlíu,plume
222,疲劳试验,píláoshìyàn,fatigue
223,刹车,chàchē,braking
224,歼击机,jiānjíjī,fighterpid
225,控制,kòngzhì,pid
226,姿态确定,zītàiquèdìng,attitude
227,分格式,fēngéshì,scheme
228,初始对准,chūshǐdùizhǔn,alignment
229,气动弹性,qìdòngdànxìng,aeroelastic
230,耐力,nàilì,tolerance
231,可压缩,kěyāsuō,compressible
232,接收机,jiēshōujī,receiver
233,轴流压气机,zhóulíuyāqìjī,compressor
234,碎片,sùipiàn,debris
235,航空运输,hángkōngyùnshū,air
236,比冲,bǐchōng,impulse
237,载人航天,zàirénhángtiān,manned
238,闭环,bìhuán,loop
239,导数,dǎoshù,derivatives
240,离心,líxīn,centrifugal
241,内流,nèilíu,flow
242,气象卫星,qìxiàngwèixīng,satellite
243,差分格式,chàfēngéshì,scheme
244,凝结,níngjié,condensation
245,燃烧过程,ránshāoguòchéng,combustion
246,机身,jīshēn,fuselage
247,卫星通信,wèixīngtōngxìn,satellite
248,航班,hángbān,flight
249,作战,zuòzhàn,combat
250,四元数,sìyuánshù,quaternion
251,超燃冲压发动机,chāoránchōngyāfādòngjī,scramjet
252,发动机推力,fādòngjītūilì,thrust
253,多学科,duōxuékē,multidisciplinary
254,弹道,dàndào,trajectory
255,跑道,pǎodào,runway
256,飞行模拟器,fēixíngmónǐqì,flight
257,可靠性设计,kěkàoxìngshèjì,reliability
258,非线性系统,fēixiànxìngxìtǒng,nonlinear
259,换热器,huànrèqì,heat
260,中文英文涡喷,zhōngwényīngwénwōpēn,turbojet
261,流动特性,líudòngtèxìng,flow
262,控制方程,kòngzhìfāngchéng,equations
263,晃动,huǎngdòng,sloshing
264,推力器,tūilìqì,thruster
265,阻尼器,zǔníqì,damper
266,系统仿真,xìtǒngfǎngzhēn,simulation
267,热控,rèkòng,thermal
268,仿真试验,fǎngzhēnshìyàn,simulation
269,振荡,zhèndàng,oscillation
270,飞船,fēichuán,spacecraft
271,仿真验证,fǎngzhēnyànzhèng,simulation
272,细长,xìcháng,slender
273,环形,huánxíng,annular
274,沸腾换热,fèiténghuànrè,boiling
275,飞行仿真,fēixíngfǎngzhēn,simulation
276,残余应力,cányúyìnglì,residual
277,国际机场,guójìjīcháng,airport
278,校准,xiàozhǔn,calibration
279,亚音速,yàyīnsù,subsonic
280,气动性能,qìdòngxìngnéng,aerodynamic
281,航迹,hángjī,flight
282,螺旋桨,luóxuánjiǎng,propeller
283,驾驶员,jiàshǐyuán,pilot
284,尾流,wěilíu,wake
285,俯仰,fǔyǎng,pitching
286,不可压,bùkěyā,incompressible
287,弹射,dànshè,ejection
288,仿真软件,fǎngzhēnruǎnjiàn,simulation
289,空间飞行器,kōngjiānfēixíngqì,spacecraft
290,进气,jìnqì,inlet
291,空间碎片,kōngjiānsùipiàn,debris
292,飞行人员,fēixíngrényuán,pilots
293,热传导,rèchuándǎo,heat
294,不可压缩,bùkěyāsuō,incompressible
295,航空电子系统,hángkōngdiànzǐxìtǒng,avionics
296,容限,róngxiàn,tolerance
297,环氧,huányǎng,epoxy
298,捷联惯导,jiéliánguàndǎo,sins
299,无粘,wúnián,inviscid
300,涡喷发动机,wōpēnfādòngjī,turbojet
301,加速度计,jiāsùdùjì,accelerometer
302,内流场,nèilíucháng,flow
303,低压,dīyā,pressure
304,数值解,shùzhíjiě,numerical
305,热源,rèyuán,heat
306,星图,xīngtú,star
307,运载器,yùnzàiqì,vehicle
308,数控,shùkòng,nc
309,扩压器,kuòyāqì,diffuser
310,姿控,zīkòng,attitude
311,翼面,yìmiàn,wing
312,气动设计,qìdòngshèjì,aerodynamic
313,来流,láilíu,flow
314,雾化,wùhuà,atomization
315,线性化,xiànxìnghuà,linearization
316,高超音速,gāochāoyīnsù,hypersonic
317,通过仿真,tōngguòfǎngzhēn,simulation
318,喷嘴,pēnzǔi,injector
319,冷凝,lěngníng,condensation
320,军用飞机,jūnyòngfēijī,military
321,静压,jìngyā,pressure
322,热防护,rèfánghù,thermal
323,直升机飞行,zhíshēngjīfēixíng,helicopter
324,导引,dǎoyǐn,guidance
325,航天飞机,hángtiānfēijī,shuttle
326,洞壁,dòngbì,wall
327,损伤容限,sǔnshāngróngxiàn,tolerance
328,欧拉方程,ōulāfāngchéng,euler
329,定标,dìngbiāo,calibration
330,屈曲,qūqū,buckling
331,碰撞,pèngzhuàng,collision
332,尾旋,wěixuán,spin
333,鲁棒控制,lǔbàngkòngzhì,robust
334,离心机,líxīnjī,centrifuge
335,降落伞,jiàngluòsǎn,parachute
336,空战,kōngzhàn,air
337,空气动力,kōngqìdònglì,aerodynamic
338,转子系统,zhuǎnzǐxìtǒng,rotor
339,飞艇,fēitǐng,airship
340,机匣,jīxiá,casing
341,航向,hángxiàng,heading
342,实时仿真,shíshífǎngzhēn,simulation
343,襟翼,jīnyì,flap
344,载人航天器,zàirénhángtiānqì,manned
345,转台,zhuǎntái,turntable
346,裕度,yùdù,margin
347,航空航天,hángkōnghángtiān,aerospace
348,掺混,xiānhùn,mixing
349,传递函数,chuándìhánshù,transfer
350,振动特性,zhèndòngtèxìng,vibration
351,合成孔径雷达,héchéngkǒngjìngléidá,sar
352,航天器姿态,hángtiānqìzītài,attitude
353,外形,wàixíng,configuration
354,交通流量,jiāotōnglíuliàng,traffic
355,涡流,wōlíu,vortex
356,非平衡,fēipínghéng,nonequilibrium
357,机动飞行,jīdòngfēixíng,flight
358,刚性,gāngxìng,rigid
359,太空,tàikōng,space
360,飞行状态,fēixíngzhuàngtài,flight
361,展开,zhǎnkāi,deployment
362,减振,jiǎnzhèn,vibration
363,运动学,yùndòngxué,kinematics
364,疲劳裂纹扩展,píláolièwénkuòzhǎn,fatigue
365,凝结换热,níngjiéhuànrè,condensation
366,边界元,biānjièyuán,boundary
367,仿真方法,fǎngzhēnfāngfǎ,simulation
368,星载,xīngzài,sarsar
369,可靠性评估,kěkàoxìngpínggū,reliability
