,0,1,2
370,湍流流动,tuānlíulíudòng,turbulent
371,粘弹性,niándànxìng,viscoelastic
372,地面试验,dìmiànshìyàn,ground
373,流体力学,líutǐlìxué,fluid
374,飞机飞行,fēijīfēixíng,flight
375,月球车,yuèqíuchē,rover
376,引射,yǐnshè,ejector
377,卫星轨道,wèixīnggǔidào,orbit
378,半实物仿真,bànshíwùfǎngzhēn,simulation
379,交会对接,jiāohùidùijiē,rendezvous
380,效能评估,xiàonéngpínggū,effectiveness
381,粘合剂,niánhéjì,binder
382,突防,tūfáng,penetration
383,橡胶,xiàngxiáo,rubber
384,样条,yángtiáo,spline
385,阻力系数,zǔlìxìshù,drag
386,载人飞船,zàirénfēichuán,manned
387,结构可靠性,jiégōukěkàoxìng,reliability
388,流型,líuxíng,flow
389,爆震波,bàozhènbō,detonation
390,补燃,bǔrán,combustion
391,遥感器,yáogǎnqì,sensor
392,挤压,jǐyā,squeeze
393,冗余,rǒngyú,redundancy
394,装药,zhuāngyào,grain
395,耐久性,nàijǐuxìng,durability
396,悬停,xuántíng,hover
397,叶轮,yèlún,impeller
398,高超声速飞行器,gāochāoshēngsùfēixíngqì,hypersonic
399,比目鱼,bǐmùyú,soleus
400,中文英文姿态测量,zhōngwényīngwénzītàicèliàng,attitude
401,涡轮泵,wōlúnbèng,turbopump
402,座椅,zuòyǐ,seat
403,高可靠性,gāokěkàoxìng,reliability
404,高温合金,gāowēnhéjīn,superalloy
405,飞轮,fēilún,flywheel
406,数值求解,shùzhíqíujiě,numerical
407,起动,qǐdòng,starting
408,前庭,qiántíng,vestibular
409,疲劳损伤,píláosǔnshāng,fatigue
410,遥测,yáocè,telemetry
411,减阻,jiǎnzǔ,drag
412,敏捷,mǐnjié,agility
413,迎风,yíngfēng,upwind
414,非定常流,fēidìngchánglíu,unsteady
415,杂波,zábō,clutter
416,涡轮盘,wōlúnpán,disk
417,辐射计,fúshèjì,radiometer
418,圆管,yuánguǎn,tube
419,散热,sànrè,heat
420,振动试验,zhèndòngshìyàn,vibration
421,绝热层,juérècéng,insulation
422,齿轮,chǐlún,gear
423,感器,gǎnqì,sensor
424,悬吊,xuándiào,suspended
425,夹层,jiācéng,sandwich
426,有效载荷,yǒuxiàozàihé,payload
427,火力,huǒlì,fire
428,相流动,xiānglíudòng,flow
429,比目鱼肌,bǐmùyújī,soleus
430,疲劳性,píláoxìng,fatigue
431,导航定位,dǎohángdìngwèi,navigation
432,液滴,yèdī,droplet
433,作战效能,zuòzhànxiàonéng,effectiveness
434,疲劳性能,píláoxìngnéng,fatigue
435,座舱,zuòcāng,cabin
436,空域,kōngyù,airspace
437,脉动,màidòng,fluctuating
438,蒙皮,méngpí,skin
439,数学仿真,shùxuéfǎngzhēn,simulation
440,解耦控制,jiěǒukòngzhì,decoupling
441,多学科设计优化,duōxuékēshèjìyōuhuà,multidisciplinary
442,多变量,duōbiànliàng,multivariable
443,静止,jìngzhǐ,geostationary
444,构型,gōuxíng,configuration
445,航天员,hángtiānyuán,astronaut
446,传热性,chuánrèxìng,heat
447,推力室,tūilìshì,chamber
448,流动沸腾,líudòngfèiténg,boiling
449,超高速,chāogāosù,hypervelocity
450,包线,bāoxiàn,envelope
451,流态,líutài,flow
452,运动病,yùndòngbìng,sickness
453,挤压油,jǐyāyóu,squeeze
454,敏捷性,mǐnjiéxìng,agility
455,旋翼桨叶,xuányìjiǎngyè,rotor
456,结构疲劳,jiégōupíláo,fatigue
457,惯量,guànliàng,inertia
458,空间交会,kōngjiānjiāohùi,rendezvous
459,隐身技术,yǐnshēnjìzhú,stealth
460,圆柱绕流,yuánzhùràolíu,cylinder
461,热层,rècéng,insulation
462,发动机系统,fādòngjīxìtǒng,engine
463,喘振,chuǎnzhèn,surge
464,含能,hánnéng,energetic
465,沸腾传热,fèiténgchuánrè,boiling
466,热平衡,rèpínghéng,balance
467,姿态角,zītàijiǎo,attitude
468,定位系统,dìngwèixìtǒng,positioning
469,旋流,xuánlíu,swirl
470,动力学建模,dònglìxuéjiànmó,modeling
471,低周疲劳,dīzhōupíláo,fatigue
472,环氧树脂,huányǎngshùzhī,epoxy
473,两相流动,liǎngxiānglíudòng,flow
474,空腔,kōngqiāng,cavity
475,仿真,fǎngzhēn,simulation
476,目标,mùbiāo,target
477,武器,wǔqì,weapon
478,算法,suànfǎ,algorithm
479,引信,yǐnxìn,fuze
480,制导,zhìdǎo,guidance
481,武器系统,wǔqìxìtǒng,weapon
482,炸药,zhàyào,explosive
483,装备,zhuāngbèi,equipment
484,成像,chéngxiàng,imaging
485,效能,xiàonéng,effectiveness
486,弹道,dàndào,trajectory
487,干扰,gānrǎo,jamming
488,鱼雷,yúléi,torpedo
489,军事,jūnshì,military
490,红外,hóngwài,infrared
491,仿真结果,fǎngzhēnjiéguǒ,simulation
492,跟踪,gēnzōng,tracking
493,估计,gūjì,estimation
494,概率,gàilv̀,probability
495,坦克,tǎnkè,tank
496,建模,jiànmó,modeling
497,自适应,zìshìyìng,adaptive
498,潜艇,qiántǐng,submarine
499,导弹,dǎodàn,missiles
500,火炮,huǒpào,gun
501,机载,jīzài,airborne
502,防空,fángkōng,air
503,杂波,zábō,clutter
504,距离,jùlí,range
505,装药,zhuāngyào,charge
506,信号处理,xìnhàochùlǐ,signal
507,飞行,fēixíng,flight
508,多普勒,duōpǔlè,doppler
509,导弹武器,dǎodànwǔqì,missile
510,射击,shèjí,firing
511,导引头,dǎoyǐntóu,seeker
512,天线,tiānxiàn,antenna
513,弹丸,dànwán,projectile
514,合成孔径雷达,héchéngkǒngjìngléidá,sar
515,乳化,rǔhuà,emulsion
516,防空导弹,fángkōngdǎodàn,missile
517,发射,fāshè,launching
518,维修,wéixīu,maintenance
519,作战效能,zuòzhànxiàonéng,effectiveness
520,乳化炸药,rǔhuàzhàyào,emulsion
521,雷达目标,léidámùbiāo,radar
522,火箭,huǒjiàn,rocket
523,战场,zhàncháng,battlefield
524,战争,zhànzhēng,war
525,目标识别,mùbiāoshìbié,target
526,导弹武器系统,dǎodànwǔqìxìtǒng,missile
527,感度,gǎndù,sensitivity
528,点火,diǎnhuǒ,ignition
529,回波,húibō,radar
530,战术,zhànzhú,tactical
531,战斗部,zhàndǒubù,warhead
532,雷达系统,léidáxìtǒng,radar
533,导引,dǎoyǐn,guidance
534,指挥,zhǐhūi,command
535,仿真研究,fǎngzhēnyánjīu,simulation
536,发射药,fāshèyào,propellant
537,武器装备,wǔqìzhuāngbèi,weapon
538,姿态,zītài,attitude
539,侵彻,qīnchè,penetration
540,军用,jūnyòng,military
541,爆轰,bàohōng,detonation
542,雷达信号,léidáxìnhào,radar
543,水下,shǔixià,underwater
544,装甲,zhuāngjiǎ,armored
545,爆炸,bàozhà,explosion
546,效能评估,xiàonéngpínggū,effectivenesssar
547,图像,túxiàng,sar
548,弹药,dànyào,ammunition
549,车辆,chēliàng,vehicle
550,雷管,léiguǎn,detonator
551,弹道导弹,dàndàodǎodàn,missile
552,燃烧,ránshāo,combustion
553,仿真模型,fǎngzhēnmóxíng,simulation
554,无线电,wúxiàndiàn,radio
555,隐身,yǐnshēn,stealth
556,空空导弹,kōngkōngdǎodàn,missile
557,分布式,fēnbùshì,distributed
558,舰船,jiànchuán,ship
559,攻击,gōngjí,attack
560,模拟器,mónǐqì,simulator
561,机动,jīdòng,maneuvering
562,接收机,jiēshōujī,receiver
563,修正,xīuzhèng,correction
564,被动,bèidòng,passive
565,延期,yánqī,delay
566,冲击,chōngjí,shock
567,计算机仿真,jìsuànjīfǎngzhēn,simulation
568,制导律,zhìdǎolv̀,guidance
569,系统效能,xìtǒngxiàonéng,effectiveness
570,起爆,qǐbào,initiation
571,威胁,wēixié,threat
572,射流,shèlíu,jet
573,体系结构,tǐxìjiégōu,architecture
574,火箭弹,huǒjiàndàn,rocket
575,显示,xiǎnshì,display
576,气动,qìdòng,aerodynamic
577,无源,wúyuán,passive
578,撞击,zhuàngjí,impact
579,防御,fángyù,defense
580,冲击波,chōngjíbō,shock
581,地空导弹,dìkōngdǎodàn,missile
582,毁伤,hǔishāng,damage
583,制导系统,zhìdǎoxìtǒng,guidance
584,舰载,jiànzài,shipborne
585,分辨,fēnbiàn,resolution
586,战术导弹,zhànzhúdǎodàn,tactical
587,目标跟踪,mùbiāogēnzōng,tracking
588,仿真技术,fǎngzhēnjìzhú,simulation
589,系统仿真,xìtǒngfǎngzhēn,simulation
590,飞机,fēijī,aircraft
591,口径,kǒujìng,caliber
592,侦察,zhēnchá,reconnaissance
593,烟幕,yānmù,smoke
594,极化,jíhuà,polarization
595,热分解,rèfēnjiě,decomposition
596,数字仿真,shùzìfǎngzhēn,simulation
597,舰炮,jiànpào,gun
598,抗干扰,kànggānrǎo,anti
599,火力,huǒlì,fire
600,某型,mǒuxíng,certain
601,自动驾驶仪,zìdòngjiàshǐyí,autopilot
602,突防,tūfáng,penetration
603,飞航导弹,fēihángdǎodàn,missile
604,方位,fāngwèi,azimuth
605,惯性,guànxìng,inertial
606,信息融合,xìnxīrónghé,fusion
607,火药,huǒyào,propellant
608,毫米波,háomǐbō,millimeter
609,某型导弹,mǒuxíngdǎodàn,missile
610,空中,kōngzhōng,air
611,混凝土,hùnníngtǔ,concrete
612,回波信号,húibōxìnhào,signal
613,运动目标,yùndòngmùbiāo,moving
614,舰艇,jiàntǐng,ship
615,波形,bōxíng,waveform
616,雷达信号处理,léidáxìnhàochùlǐ,radar
617,精确,jīngquè,precision
618,卡尔曼,qiǎěrmàn,kalman
619,星载,xīngzài,spaceborne
620,高炮,gāopào,gun
621,雷达回波,léidáhúibō,radar
622,参数估计,cānshùgūjì,estimation
623,导弹系统,dǎodànxìtǒng,missile
624,估计方法,gūjìfāngfǎ,estimation
625,身管,shēnguǎn,barrel
626,半实物仿真,bànshíwùfǎngzhēn,simulation
627,仿真试验,fǎngzhēnshìyàn,simulation
628,对准,dùizhǔn,alignment
629,炮兵,pàobīng,artillery
630,爆速,bàosù,detonation
631,分配,fēnpèi,assignment
632,仿真方法,fǎngzhēnfāngfǎ,simulation
633,回路,húilù,loop
634,命中,mìngzhōng,hit
635,推力,tūilì,thrust
636,导引律,dǎoyǐnlv̀,guidancesar
637,成像,chéngxiàng,sar
638,红外成像,hóngwàichéngxiàng,infrared
639,海军,hǎijūn,navy
640,气动力,qìdònglì,aerodynamic
641,靶场,bǎcháng,range
642,推进剂,tūijìnjì,propellant
643,箔条,bótiáo,chaff
644,算法研究,suànfǎyánjīu,algorithm
645,炸弹,zhàdàn,bomb
646,撞击感度,zhuàngjígǎndù,sensitivity
647,建模与仿真,jiànmóyǔfǎngzhēn,simulation
648,调制,diàozhì,modulation
649,诱饵,yòuěr,decoy
650,装备维修,zhuāngbèiwéixīu,maintenance
651,射程,shèchéng,range
652,多普勒雷达,duōpǔlèléidá,doppler
653,直升机,zhíshēngjī,helicopter
654,仿真软件,fǎngzhēnruǎnjiàn,simulation
655,数值仿真,shùzhífǎngzhēn,simulation
656,反辐射,fǎnfúshè,anti
657,维修保障,wéixīubǎozhàng,maintenance
658,拦截,lánjié,interception
659,隐身技术,yǐnshēnjìzhú,stealth
660,论证,lùnzhèng,demonstration
661,孔径,kǒngjìng,aperture
662,炮口,pàokǒu,muzzle
663,卡尔曼滤波,qiǎěrmànlv̀bō,kalman
664,发射机,fāshèjī,transmitter
665,维修性,wéixīuxìng,maintainability
666,噪比,zàobǐ,snr
667,脱靶,tuōbǎ,miss
668,处理器,chùlǐqì,processor
669,火箭炮,huǒjiànpào,rocket
670,脉冲多普勒,màichōngduōpǔlè,doppler
671,雷达天线,léidátiānxiàn,antenna
672,融合技术,rónghéjìzhú,fusion
673,仿真实验,fǎngzhēnshíyàn,simulation
674,延期药,yánqīyào,delay
675,星载,xīngzài,sarsar
676,含能,hánnéng,energetic
677,通过仿真,tōngguòfǎngzhēn,simulation
678,阻力,zǔlì,drag
679,高分辨,gāofēnbiàn,resolution
680,分辨力,fēnbiànlì,resolution
681,备件,bèijiàn,spare
682,欺骗,qīpiàn,deception
683,航迹,hángjī,track
684,仿真计算,fǎngzhēnjìsuàn,simulation
685,宽带,kuāndài,wideband
686,电子战,diànzǐzhàn,ew
687,超音速,chāoyīnsù,supersonic
688,鲁棒性,lǔbàngxìng,robustness
689,攻角,gōngjiǎo,attack
690,动目标,dòngmùbiāo,moving
691,火箭发动机,huǒjiànfādòngjī,rocket
692,再入,zàirù,reentry
693,靶板,bǎbǎn,target
694,发射装置,fāshèzhuāngzhì,launcher
695,机枪,jīqiāng,gun
696,雷达导引头,léidádǎoyǐntóu,seeker
697,脉冲雷达,màichōngléidá,radar
698,制导技术,zhìdǎojìzhú,guidance
699,推进,tūijìn,propulsion
700,弹头,dàntóu,warhead
701,波束,bōshù,beam
702,炮弹,pàodàn,projectile
703,后坐,hòuzuò,recoil
704,近炸,jìnzhà,proximity
705,伪装,wěizhuāng,camouflage
706,喷流,pēnlíu,jet
707,探地雷达,tàndìléidá,radar
708,战斗机,zhàndǒujī,fighter
709,导弹总体,dǎodànzǒngtǐ,missile
710,壳体,kétǐ,shell
711,原始,yuánshǐ,raw
712,过载,guòzài,overload
713,陀螺,tuóluó,gyro
714,相干斑,xiānggānbān,speckle
715,成像处理,chéngxiàngchùlǐ,imaging
716,旁瓣,pángbàn,sidelobe
717,装药结构,zhuāngyàojiégōu,charge
718,某导弹,mǒudǎodàn,missile
719,近炸引信,jìnzhàyǐnxìn,proximity
720,飞航,fēiháng,cruise
721,目标运动,mùbiāoyùndòng,target
722,杂波抑制,zábōyìzhì,clutter
723,杀伤,shāshāng,kill
724,层次分析法,céngcìfēnxīfǎ,ahp
725,兵器,bīngqì,weapon
726,药筒,yàotǒng,cartridge
727,国防,guófáng,defense
728,履带,lv̌dài,tracked
729,延时,yánshí,delay
730,雷达技术,léidájìzhú,radar
731,燃烧性,ránshāoxìng,combustion
732,燃烧性能,ránshāoxìngnéng,combustion
733,电雷管,diànléiguǎn,detonator
734,虚警,xūjǐng,false
